Ano,Região,Média_Geral,Média_Geral_Ponderada,N_Alunos,Ciências,Matemática,Matemática_Ponderada,Leitura_Ponderada,Ciências_Ponderada,Leitura
2022,Sul,416.7226023354565,413.47421178705855,1570,423.1737394904458,394.2521286624204,391.45881865163744,429.27785072994817,419.68596597959004,432.7419388535032
2022,Sudeste,410.7598064810589,407.09219438450486,4382,417.0387471474213,390.4358388863532,387.5570314888775,420.5028284518455,413.2167232127916,424.8048334094021
2022,Centro-Oeste,405.1436610233258,405.991437735944,886,409.9330225733634,382.4721049661399,383.08620333209535,424.4884521756924,410.39965770004414,423.025855530474
2022,Nordeste,381.79553602077686,380.1951025481296,2952,386.9398651761518,362.89976693766937,361.28705449193893,393.7189627972369,385.57929035521306,395.54697594850944
2022,Norte,381.04664252645506,376.0410699223698,1008,387.2353125,363.2281359126984,359.1420456324979,386.1750193476597,382.8061447869517,392.6764791666667
